TIME,QUANTITY,PRICE
17/06/2022 12:23:17.308,1000000,1.36257
17/06/2022 12:00:24.118,500000,1.36273
17/06/2022 12:08:31.268,4000000,1.36281
17/06/2022 12:33:03.148,2500000,1.36261
17/06/2022 12:18:46.143,4000000,1.36269
17/06/2022 12:31:48.543,1500000,1.36277
17/06/2022 12:07:09.138,1000000,1.36291
17/06/2022 12:24:47.418,2500000,1.36246
17/06/2022 12:42:59.943,1000000,1.36246
17/06/2022 12:53:30.713,3000000,1.36254
17/06/2022 12:51:07.373,4000000,1.36255
17/06/2022 12:37:59.943,2500000,1.36266
17/06/2022 12:20:35.483,4000000,1.36281
17/06/2022 12:58:28.813,3000000,1.36241
17/06/2022 12:45:07.557,1500000,1.36255
17/06/2022 12:58:36.169,1500000,1.36247
17/06/2022 12:41:50.743,4000000,1.36264
17/06/2022 12:32:54.959,6000000,1.36269
17/06/2022 12:01:53.418,2000000,1.36308
17/06/2022 12:29:16.463,1000000,1.36272
17/06/2022 12:58:47.828,3000000,1.36244
17/06/2022 12:27:45.934,3500000,1.36254
17/06/2022 12:29:10.388,2000000,1.36264
17/06/2022 12:00:45.638,6000000,1.36288
17/06/2022 12:45:13.242,5000000,1.36254
17/06/2022 12:58:47.783,4000000,1.36249
17/06/2022 12:41:08.418,1000000,1.3627
17/06/2022 12:27:57.954,1000000,1.36256
17/06/2022 12:46:37.578,1000000,1.36268
17/06/2022 12:42:52.473,3500000,1.36246
17/06/2022 12:58:28.808,500000,1.36241
17/06/2022 12:26:14.008,2000000,1.36246
17/06/2022 12:27:16.813,4000000,1.3625
17/06/2022 12:22:12.484,1000000,1.36279
17/06/2022 12:45:49.353,2500000,1.36259
17/06/2022 12:19:11.938,1000000,1.36267
17/06/2022 12:11:28.868,1000000,1.36279
17/06/2022 12:24:20.323,3000000,1.36254
17/06/2022 12:00:09.853,3000000,1.36272
17/06/2022 12:52:39.048,3500000,1.36256
17/06/2022 12:07:16.038,2000000,1.3629
17/06/2022 12:01:54.128,2000000,1.36304
17/06/2022 12:00:03.538,2000000,1.36274
17/06/2022 12:08:00.223,6000000,1.36286
17/06/2022 12:28:11.237,1500000,1.36255
17/06/2022 12:19:53.853,2000000,1.3626
17/06/2022 12:41:00.324,2000000,1.36274
17/06/2022 12:25:14.713,1000000,1.36255
17/06/2022 12:10:19.053,2500000,1.36285
17/06/2022 12:03:22.353,1500000,1.36295
17/06/2022 12:12:35.613,3000000,1.36277
17/06/2022 12:11:03.568,7000000,1.36281
17/06/2022 12:02:57.489,1000000,1.36285
17/06/2022 12:22:14.948,3000000,1.36275
17/06/2022 12:34:25.173,4000000,1.36265
17/06/2022 12:06:14.323,1000000,1.36298
17/06/2022 12:29:14.113,1000000,1.36267
17/06/2022 12:16:46.543,2000000,1.36269
17/06/2022 12:38:00.013,1000000,1.36267
17/06/2022 12:39:26.094,1000000,1.36278
17/06/2022 12:32:31.143,2000000,1.3627
17/06/2022 12:51:42.643,1000000,1.36258
17/06/2022 12:28:29.463,2000000,1.36257
17/06/2022 12:00:21.468,1000000,1.3627
17/06/2022 12:15:02.413,1000000,1.36267
17/06/2022 12:03:01.903,1000000,1.36286
17/06/2022 12:34:40.743,2750000,1.36266
17/06/2022 12:04:46.828,3000000,1.36278
17/06/2022 12:11:30.288,4000000,1.36276
17/06/2022 12:39:24.650,1000000,1.36273
17/06/2022 12:55:20.014,1000000,1.36239
17/06/2022 12:43:47.013,1000000,1.36248
17/06/2022 12:58:47.853,5125000,1.36246
17/06/2022 12:20:19.003,3000000,1.36284
17/06/2022 12:44:44.478,1000000,1.36252
17/06/2022 12:41:23.638,1000000,1.36266
17/06/2022 12:29:10.388,1000000,1.36264
17/06/2022 12:12:32.048,8000000,1.3628
17/06/2022 12:22:33.508,1000000,1.36267
17/06/2022 12:18:21.468,2000000,1.36269
17/06/2022 12:18:48.378,2000000,1.36274
17/06/2022 12:56:44.364,2000000,1.36246
17/06/2022 12:30:57.308,1500000,1.36273
17/06/2022 12:32:07.908,3000000,1.36279
17/06/2022 12:41:22.893,2000000,1.36269
17/06/2022 12:00:03.728,2000000,1.36276
17/06/2022 12:51:00.113,14000000,1.36256
17/06/2022 12:00:03.813,3000000,1.36274
17/06/2022 12:14:56.822,1000000,1.36259
17/06/2022 12:13:21.008,1000000,1.36277
17/06/2022 12:11:09.823,4000000,1.36281
17/06/2022 12:31:02.797,2000000,1.36276
17/06/2022 12:05:33.242,1000000,1.36301
17/06/2022 12:03:33.678,2500000,1.36295
17/06/2022 12:54:40.648,4000000,1.36246
17/06/2022 12:19:28.533,2500000,1.36265
17/06/2022 12:04:18.543,2120000,1.36286
17/06/2022 12:11:18.398,1000000,1.36281
17/06/2022 12:10:19.053,2500000,1.36285
17/06/2022 12:52:50.118,2500000,1.36255
17/06/2022 12:29:47.639,1000000,1.36272
17/06/2022 12:06:28.894,8000000,1.36291
17/06/2022 12:07:06.698,2200000,1.36295
17/06/2022 12:53:02.643,3000000,1.36255
17/06/2022 12:36:32.242,2500000,1.36233
17/06/2022 12:48:17.478,1000000,1.36264
17/06/2022 12:30:15.163,1000000,1.36275
17/06/2022 12:39:37.199,3500000,1.3627
17/06/2022 12:10:33.313,3000000,1.36281
17/06/2022 12:50:03.213,500000,1.36257
17/06/2022 12:23:01.613,2000000,1.36253
17/06/2022 12:15:22.738,1000000,1.36277
17/06/2022 12:47:16.263,3000000,1.36267
17/06/2022 12:30:24.013,1000000,1.36273
